Id,label
56.png,0
2074.png,1
3174.png,0
2463.png,1
71.png,4
1567.png,1
502.png,2
2790.png,0
2676.png,2
750.png,2
3033.png,0
3224.png,3
2516.png,1
2494.png,4
2850.png,1
3288.png,2
3164.png,1
952.png,0
2229.png,0
3344.png,2
2475.png,2
115.png,3
184.png,4
3462.png,3
102.png,2
1673.png,0
2496.png,4
1828.png,1
1546.png,1
51.png,2
1454.png,1
3289.png,3
1211.png,1
1579.png,3
1245.png,4
2104.png,4
2135.png,1
130.png,1
1688.png,4
2178.png,4
3221.png,2
1912.png,0
2349.png,2
2244.png,0
1791.png,3
792.png,3
675.png,3
2782.png,3
3411.png,0
2889.png,2
556.png,2
650.png,1
752.png,3
260.png,0
37.png,0
2297.png,3
2129.png,4
612.png,2
263.png,0
3207.png,4
2956.png,3
2023.png,2
1903.png,3
2180.png,0
1894.png,2
1914.png,0
1214.png,2
2925.png,3
1787.png,2
254.png,2
251.png,0
1405.png,2
2420.png,1
2981.png,0
2278.png,3
1237.png,0
232.png,3
241.png,1
1341.png,1
2083.png,2
669.png,3
817.png,4
2924.png,3
2165.png,0
288.png,4
1340.png,1
813.png,3
1408.png,3
2543.png,0
716.png,1
682.png,4
21.png,0
2996.png,0
1329.png,2
711.png,0
1727.png,0
1876.png,4
755.png,0
3496.png,1
3025.png,0
1095.png,3
694.png,0
2558.png,4
2508.png,1
2026.png,3
1253.png,2
2732.png,3
2651.png,4
466.png,0
3247.png,4
428.png,3
2013.png,1
311.png,0
267.png,2
3400.png,2
1429.png,1
1470.png,0
2188.png,4
1086.png,0
920.png,0
2201.png,1
1479.png,4
1950.png,2
1849.png,3
819.png,0
343.png,2
1032.png,2
2938.png,0
1017.png,2
2031.png,3
2893.png,0
230.png,1
1298.png,0
921.png,4
89.png,2
476.png,2
2387.png,2
3238.png,3
7.png,4
2224.png,3
3383.png,2
2364.png,4
1330.png,2
1563.png,4
139.png,0
1572.png,2
90.png,2
1817.png,4
3366.png,2
2004.png,1
3226.png,3
1038.png,0
82.png,0
1988.png,0
773.png,3
2399.png,3
1516.png,4
1640.png,4
2221.png,3
706.png,2
3499.png,4
2574.png,1
2281.png,3
2690.png,0
3236.png,2
3369.png,2
3293.png,0
1248.png,0
357.png,0
202.png,2
388.png,3
963.png,3
590.png,4
3134.png,4
2749.png,4
3364.png,1
651.png,2
2819.png,2
2021.png,2
2552.png,2
3230.png,4
1371.png,2
3335.png,3
589.png,0
2066.png,4
961.png,2
3214.png,3
3449.png,4
538.png,0
462.png,0
2895.png,0
2365.png,4
481.png,3
370.png,4
523.png,0
1301.png,0
1396.png,4
1203.png,2
3023.png,3
3146.png,2
3042.png,0
1635.png,0
2461.png,4
2204.png,1
2042.png,0
2500.png,4
3092.png,0
2740.png,0
1844.png,3
2024.png,2
1318.png,3
3150.png,0
2827.png,3
2758.png,1
2179.png,0
27.png,3
3026.png,0
437.png,1
203.png,2
2569.png,1
3106.png,3
3220.png,2
1474.png,4
2867.png,2
2828.png,3
218.png,0
2112.png,3
2610.png,4
2694.png,4
2232.png,4
3159.png,0
2468.png,1
1005.png,4
2304.png,0
1808.png,0
1044.png,4
1393.png,0
1985.png,3
2672.png,2
2219.png,3
2419.png,1
890.png,1
1181.png,2
2597.png,3
979.png,1
358.png,4
1740.png,3
1630.png,1
2681.png,3
2324.png,1
573.png,0
294.png,2
233.png,0
1275.png,4
2879.png,3
3216.png,3
615.png,3
1595.png,4
2309.png,0
2415.png,4
719.png,2
2289.png,1
1495.png,0
2222.png,3
1594.png,4
108.png,2
2303.png,0
427.png,3
3130.png,3
2700.png,4
1158.png,2
1221.png,0
3211.png,2
1049.png,1
2680.png,3
829.png,0
3255.png,3
3144.png,2
2777.png,2
907.png,1
1335.png,0
2637.png,3
2436.png,2
16.png,2
621.png,0
1420.png,3
2155.png,3
2841.png,4
3386.png,4
2708.png,1
745.png,4
1416.png,1
1267.png,4
1928.png,0
1417.png,1
914.png,0
409.png,2
3330.png,2
92.png,3
692.png,3
2988.png,1
954.png,4
29.png,1
1699.png,1
2576.png,1
1022.png,3
1218.png,3
835.png,1
603.png,0
2380.png,2
2830.png,0
1202.png,1
2998.png,0
1915.png,0
3074.png,4
1438.png,3
2137.png,1
1962.png,3
1857.png,3
1308.png,4
1970.png,0
2892.png,3
2215.png,2
2370.png,1
688.png,2
1621.png,3
783.png,2
2262.png,4
1292.png,1
1476.png,3
1564.png,1
2421.png,1
622.png,1
881.png,3
168.png,4
3184.png,2
566.png,0
1187.png,0
395.png,0
1558.png,4
3362.png,2
1759.png,0
596.png,0
2696.png,4
1197.png,1
2447.png,3
1585.png,2
3356.png,2
1716.png,3
54.png,3
518.png,2
244.png,1
2177.png,0
1863.png,0
2334.png,2
3029.png,4
1114.png,0
408.png,2
1028.png,1
3069.png,0
3227.png,3
1653.png,3
2910.png,3
1183.png,3
2652.png,4
2293.png,0
1797.png,0
2063.png,4
2874.png,2
808.png,2
339.png,2
2395.png,3
58.png,0
1444.png,1
1830.png,1
1992.png,0
1310.png,4
2358.png,0
467.png,4
1269.png,0
1130.png,1
1002.png,0
2800.png,4
1164.png,1
1026.png,3
635.png,4
3096.png,0
1455.png,1
3135.png,1
666.png,1
1352.png,3
977.png,4
1096.png,1
1794.png,3
674.png,4
375.png,0
2773.png,2
841.png,2
1690.png,0
1524.png,0
3180.png,3
1835.png,1
781.png,4
1580.png,0
2006.png,1
3083.png,0
825.png,3
1189.png,0
3271.png,4
337.png,1
2871.png,2
3484.png,1
673.png,4
761.png,1
1349.png,3
1155.png,1
2302.png,0
1113.png,0
883.png,3
2510.png,1
1351.png,0
463.png,0
821.png,4
182.png,3
1657.png,0
2650.png,4
214.png,4
240.png,4
3368.png,2
3394.png,0
1271.png,4
2261.png,4
2743.png,0
1472.png,4
1908.png,3
1092.png,2
2273.png,2
222.png,3
2317.png,4
2288.png,4
1846.png,3
2814.png,2
809.png,3
1638.png,4
1705.png,1
1878.png,4
1293.png,2
445.png,4
2339.png,3
1274.png,4
1391.png,2
2059.png,0
1598.png,1
935.png,2
2935.png,3
1003.png,0
993.png,0
953.png,2
2267.png,1
604.png,0
2555.png,4
1730.png,2
2620.png,1
83.png,0
2964.png,3
967.png,0
494.png,4
1642.png,0
2684.png,3
1616.png,2
699.png,0
322.png,0
386.png,2
1795.png,3
2707.png,1
972.png,3
2113.png,0
236.png,0
2833.png,0
2667.png,1
1243.png,4
1618.png,3
1343.png,1
1944.png,1
2101.png,0
228.png,1
2092.png,3
215.png,0
2181.png,0
2590.png,3
602.png,0
831.png,4
877.png,1
303.png,0
2872.png,2
3413.png,4
1617.png,3
72.png,4
2772.png,2
399.png,0
508.png,0
548.png,1
3391.png,0
2664.png,1
2268.png,1
3125.png,2
2442.png,3
1402.png,2
2566.png,1
1576.png,3
2223.png,3
2490.png,0
1562.png,4
1853.png,4
728.png,0
2327.png,1
680.png,0
1560.png,4
2760.png,1
2058.png,0
2263.png,4
762.png,1
3351.png,0
2311.png,4
2381.png,2
2405.png,0
3382.png,2
771.png,3
643.png,3
435.png,4
978.png,4
736.png,2
3354.png,1
1811.png,0
2294.png,3
2539.png,0
2118.png,3
2701.png,4
153.png,3
2723.png,2
249.png,0
2019.png,2
1488.png,1
439.png,0
2753.png,4
1121.png,2
1624.png,4
509.png,0
2170.png,1
10.png,4
2533.png,3
128.png,0
2787.png,3
524.png,0
799.png,3
3370.png,0
3262.png,4
1792.png,3
2504.png,4
1674.png,0
3065.png,0
642.png,3
3088.png,0
2072.png,4
3080.png,3
1605.png,0
1493.png,3
2367.png,4
1412.png,0
2330.png,2
1647.png,1
262.png,4
1793.png,3
103.png,2
2984.png,4
1506.png,3
3085.png,4
1439.png,0
394.png,0
964.png,3
2230.png,0
3342.png,1
2033.png,3
918.png,4
2269.png,1
578.png,1
347.png,3
336.png,4
149.png,2
2526.png,2
2401.png,0
1510.png,3
1475.png,2
3405.png,4
406.png,2
3040.png,2
1728.png,3
1872.png,0
312.png,1
3003.png,4
2540.png,0
925.png,3
1348.png,2
2683.png,3
2636.png,3
216.png,2
377.png,4
1873.png,4
946.png,3
594.png,1
1537.png,2
2976.png,2
2821.png,2
1548.png,2
764.png,2
2253.png,0
1198.png,3
157.png,0
190.png,3
1965.png,3
3475.png,3
2673.png,2
2466.png,1
1078.png,0
2626.png,2
2580.png,2
2390.png,3
796.png,3
352.png,0
418.png,4
1854.png,3
839.png,2
2471.png,1
3169.png,2
1525.png,0
487.png,0
1948.png,1
1122.png,2
2053.png,3
2559.png,4
2994.png,1
1168.png,3
1960.png,3
1996.png,4
1744.png,3
1608.png,4
591.png,0
628.png,2
392.png,3
2161.png,3
299.png,3
334.png,4
1806.png,3
3452.png,1
665.png,1
3482.png,1
2408.png,0
2953.png,3
2162.png,0
135.png,4
832.png,4
1631.png,1
1141.png,2
2783.png,3
424.png,0
3031.png,0
3089.png,1
393.png,1
1240.png,0
1606.png,0
1775.png,1
1082.png,4
1907.png,3
1117.png,1
2386.png,2
1888.png,1
1531.png,1
1020.png,2
1107.png,2
2352.png,0
2995.png,4
1679.png,0
2022.png,2
1108.png,3
2786.png,3
2848.png,4
1068.png,1
1528.png,0
2427.png,1
2699.png,4
3323.png,4
400.png,0
2176.png,3
763.png,2
3213.png,2
316.png,3
988.png,3
1367.png,4
304.png,0
458.png,3
3187.png,3
325.png,0
2519.png,2
96.png,4
3392.png,0
314.png,2
1951.png,2
2687.png,0
663.png,4
2917.png,1
1803.png,3
2940.png,4
2812.png,1
2426.png,1
1302.png,0
1614.png,1
1573.png,2
2400.png,0
387.png,2
3420.png,1
1205.png,4
2480.png,2
1126.png,0
1870.png,0
3035.png,0
1929.png,4
1895.png,2
1255.png,3
652.png,2
2207.png,1
2521.png,2
3189.png,0
63.png,0
3256.png,3
898.png,0
3009.png,4
1241.png,4
468.png,4
1954.png,2
1549.png,0
739.png,3
1170.png,4
2888.png,2
902.png,4
1299.png,2
3084.png,0
2090.png,3
815.png,3
3045.png,4
39.png,4
668.png,3
1545.png,4
2283.png,3
2027.png,3
853.png,4
173.png,2
542.png,0
1319.png,3
3101.png,4
1984.png,3
1861.png,0
1604.png,2
2196.png,1
1459.png,2
1177.png,2
2128.png,4
543.png,4
1508.png,3
793.png,1
2348.png,3
3436.png,1
1192.png,4
1415.png,4
1570.png,1
2032.png,3
1607.png,0
438.png,1
726.png,3
1370.png,1
1761.png,4
1932.png,4
695.png,0
932.png,4
3124.png,2
629.png,4
1533.png,2
3377.png,1
2570.png,1
2581.png,2
2152.png,3
3173.png,0
449.png,1
865.png,0
2887.png,1
3047.png,4
3072.png,0
3194.png,3
951.png,0
433.png,4
362.png,3
3110.png,0
122.png,0
3480.png,4
1174.png,4
3154.png,3
2389.png,2
1827.png,1
1277.png,1
3233.png,3
1592.png,0
3032.png,1
876.png,1
2193.png,0
2691.png,0
500.png,0
189.png,2
3429.png,3
3321.png,0
1648.png,1
1663.png,1
1034.png,2
1137.png,0
3254.png,2
1389.png,3
557.png,3
3121.png,2
447.png,0
360.png,3
3338.png,2
1942.png,1
1386.png,0
2934.png,3
551.png,1
50.png,2
1233.png,3
617.png,0
1160.png,0
1094.png,3
2961.png,2
1191.png,0
2142.png,1
1223.png,0
55.png,3
2312.png,4
3355.png,1
1747.png,1
2604.png,0
3263.png,1
3141.png,2
2435.png,2
1387.png,4
1208.png,4
3494.png,1
648.png,1
3192.png,4
3313.png,2
79.png,2
1841.png,3
2183.png,0
2184.png,0
1477.png,0
2534.png,3
172.png,2
1035.png,3
371.png,2
1456.png,1
301.png,0
2607.png,4
3117.png,1
2313.png,4
1681.png,0
2907.png,3
3397.png,4
1373.png,3
154.png,4
3176.png,4
2202.png,4
3203.png,3
1196.png,0
2075.png,1
2100.png,0
3432.png,1
1064.png,3
1331.png,3
1460.png,2
3147.png,2
1700.png,1
3012.png,1
1725.png,4
2746.png,0
3053.png,1
1432.png,2
3129.png,3
1994.png,0
373.png,3
1102.png,4
175.png,2
2346.png,3
1634.png,0
1327.png,2
1442.png,3
3373.png,4
2606.png,4
300.png,3
3483.png,1
770.png,3
1184.png,4
2600.png,0
2703.png,1
1856.png,2
569.png,3
1058.png,0
735.png,2
3063.png,4
3345.png,1
1758.png,0
2333.png,2
2932.png,1
2873.png,2
984.png,2
3133.png,4
1464.png,3
570.png,4
2227.png,3
246.png,0
950.png,3
805.png,2
2455.png,0
2012.png,1
807.png,3
3333.png,2
430.png,0
1893.png,2
2601.png,0
2350.png,0
1195.png,0
470.png,4
869.png,1
3319.png,0
188.png,2
2761.png,1
2106.png,0
1147.png,2
410.png,3
717.png,1
609.png,1
2535.png,3
2962.png,2
834.png,1
1264.png,3
2963.png,4
272.png,0
2593.png,3
1135.png,3
1627.png,0
2778.png,2
1800.png,4
40.png,4
514.png,1
2114.png,0
1055.png,0
401.png,0
2045.png,1
1645.png,4
62.png,2
1397.png,4
1311.png,4
3315.png,2
239.png,4
985.png,2
1152.png,4
2973.png,1
453.png,0
1586.png,1
1303.png,0
2102.png,4
2679.png,3
3191.png,3
2623.png,1
407.png,2
901.png,4
3148.png,0
2585.png,2
1230.png,3
905.png,4
2247.png,0
1883.png,1
2097.png,3
320.png,3
2449.png,3
1434.png,2
2503.png,4
3402.png,0
3395.png,4
1535.png,2
2972.png,4
66.png,0
3334.png,3
2342.png,3
2057.png,0
2936.png,0
2050.png,0
3006.png,4
1443.png,1
3357.png,2
1059.png,0
1786.png,2
307.png,2
2099.png,3
637.png,1
3260.png,0
2459.png,4
2308.png,0
2796.png,0
258.png,0
568.png,1
737.png,2
3265.png,3
2688.png,0
2326.png,1
318.png,1
2068.png,4
1465.png,3
2062.png,4
448.png,4
3249.png,2
43.png,4
2842.png,4
178.png,3
338.png,2
3215.png,4
155.png,4
1400.png,2
623.png,3
1818.png,4
459.png,3
3179.png,2
3365.png,1
2945.png,1
1334.png,0
2944.png,1
25.png,4
328.png,2
3118.png,2
2628.png,2
2802.png,4
234.png,0
1927.png,0
734.png,2
1161.png,0
1609.png,4
1421.png,3
1166.png,4
1652.png,2
510.png,4
275.png,3
2117.png,0
3291.png,3
3060.png,1
57.png,4
997.png,4
575.png,4
2043.png,1
1451.png,4
1593.png,4
1272.png,4
2173.png,4
3434.png,0
2561.png,4
2525.png,2
1101.png,0
915.png,0
2271.png,1
397.png,1
2641.png,0
929.png,0
2933.png,1
1093.png,2
2852.png,1
1099.png,0
1379.png,4
1065.png,3
280.png,2
2093.png,3
2614.png,4
3140.png,0
2739.png,0
330.png,3
1462.png,2
2069.png,3
195.png,4
2265.png,1
577.png,1
1252.png,2
158.png,0
996.png,4
3487.png,3
535.png,0
1185.png,3
2818.png,2
1242.png,4
206.png,3
2770.png,2
2766.png,3
896.png,2
2859.png,1
256.png,2
2949.png,3
867.png,0
1840.png,3
827.png,3
220.png,3
2551.png,0
367.png,0
2016.png,2
1899.png,2
647.png,4
3128.png,0
3371.png,1
2897.png,4
490.png,0
2160.png,3
497.png,1
3363.png,3
2446.png,3
2612.png,4
45.png,1
633.png,4
3046.png,4
2789.png,0
2073.png,1
2332.png,2
471.png,1
689.png,3
3408.png,1
2040.png,4
327.png,2
3166.png,1
715.png,1
2055.png,0
1326.png,2
278.png,1
1710.png,2
2484.png,3
1722.png,0
641.png,2
784.png,3
875.png,1
1109.png,3
3108.png,3
2511.png,1
3075.png,4
2813.png,1
3298.png,1
1776.png,1
1041.png,0
3443.png,3
576.png,1
528.png,0
1494.png,3
3058.png,2
1461.png,2
3448.png,4
2291.png,2
3011.png,4
17.png,3
59.png,0
3171.png,2
1669.png,2
2343.png,3
1568.png,1
1500.png,1
1382.png,0
2084.png,3
1946.png,1
390.png,3
677.png,3
245.png,2
3393.png,3
1153.png,4
906.png,1
2978.png,2
2315.png,4
922.png,1
1534.png,1
992.png,1
2738.png,3
11.png,1
3467.png,0
1320.png,0
2134.png,1
2396.png,3
1286.png,0
924.png,0
3318.png,1
2029.png,3
1571.png,2
1591.png,0
814.png,0
872.png,4
999.png,0
3001.png,2
2686.png,3
1374.png,3
1885.png,1
630.png,3
3299.png,1
1254.png,3
3059.png,2
1807.png,0
1481.png,4
966.png,3
1874.png,4
2861.png,1
208.png,4
2493.png,4
686.png,1
2422.png,1
1372.png,2
2779.png,3
1554.png,0
2983.png,0
2284.png,3
2792.png,0
2999.png,0
1527.png,0
664.png,4
748.png,1
850.png,0
3245.png,4
1162.png,3
1602.png,2
452.png,1
1682.png,1
1887.png,1
1407.png,3
567.png,3
2713.png,1
2410.png,3
1390.png,3
1482.png,4
3403.png,0
201.png,2
649.png,3
732.png,0
1719.png,0
3102.png,1
640.png,2
3414.png,4
147.png,2
2376.png,1
2692.png,4
618.png,0
529.png,4
885.png,0
2803.png,4
1838.png,2
2697.png,4
1410.png,3
2398.png,3
2270.png,1
1437.png,3
47.png,1
884.png,3
2811.png,1
2064.png,4
2712.png,2
3492.png,2
3346.png,4
2499.png,4
802.png,0
1085.png,4
625.png,0
1180.png,2
1427.png,3
361.png,3
3324.png,4
511.png,4
1582.png,0
2109.png,3
1154.png,1
3054.png,1
816.png,4
1742.png,0
455.png,2
634.png,4
1423.png,3
2825.png,3
265.png,1
797.png,3
871.png,4
289.png,4
123.png,0
758.png,4
2005.png,1
3183.png,2
1612.png,4
837.png,2
93.png,0
2159.png,3
1146.png,2
2182.png,3
1125.png,0
3149.png,0
598.png,3
3071.png,0
426.png,0
3396.png,4
3471.png,1
1132.png,2
895.png,3
276.png,4
125.png,0
2808.png,1
98.png,1
981.png,0
2916.png,3
2473.png,2
1771.png,4
1615.png,2
3185.png,3
1937.png,4
1945.png,1
1040.png,0
1507.png,3
3107.png,3
1789.png,3
3352.png,4
2918.png,1
1879.png,4
2167.png,1
3261.png,1
1964.png,3
1756.png,0
1701.png,1
749.png,2
2542.png,3
522.png,3
3057.png,0
2168.png,3
2156.png,3
32.png,3
2801.png,4
2457.png,0
2544.png,0
851.png,0
2762.png,1
28.png,3
2483.png,3
1943.png,1
3181.png,2
782.png,4
3228.png,0
2038.png,0
306.png,4
1234.png,3
349.png,3
1169.png,0
1737.png,0
838.png,4
2305.png,0
324.png,0
484.png,3
3239.png,3
656.png,3
363.png,3
493.png,4
720.png,2
3137.png,1
2929.png,4
2989.png,1
1825.png,4
572.png,3
780.png,0
1584.png,1
1743.png,2
3116.png,4
1810.png,0
2081.png,2
991.png,0
1848.png,3
721.png,2
185.png,3
3287.png,2
976.png,4
931.png,4
2067.png,4
3232.png,4
2609.png,4
1886.png,1
2514.png,1
2538.png,3
210.png,4
1297.png,2
2497.png,4
1140.png,4
806.png,2
451.png,4
2587.png,2
309.png,3
134.png,2
2206.png,1
3257.png,3
2174.png,0
636.png,1
1144.png,2
3217.png,1
1896.png,2
899.png,0
1781.png,2
2103.png,4
3094.png,3
1930.png,4
2991.png,2
1363.png,0
310.png,3
2275.png,2
2166.png,0
3426.png,3
3297.png,4
1497.png,4
2959.png,3
1422.png,3
1784.png,2
3423.png,2
1324.png,3
1178.png,2
2478.png,2
2640.png,0
1666.png,3
923.png,1
2115.png,0
2458.png,4
1486.png,1
2445.png,3
2228.png,0
3337.png,3
1105.png,1
2633.png,3
3350.png,0
2086.png,2
3099.png,4
3018.png,2
1445.png,2
2759.png,1
1401.png,2
667.png,2
107.png,2
1552.png,3
544.png,4
1062.png,3
78.png,2
733.png,4
1074.png,2
3296.png,4
948.png,3
1868.png,0
1836.png,2
2725.png,2
892.png,2
141.png,0
2502.png,4
3301.png,2
1889.png,2
2904.png,1
2742.png,0
1123.png,3
3244.png,4
3458.png,3
2462.png,1
2208.png,1
183.png,4
1553.png,3
2815.png,2
2798.png,4
1084.png,2
2003.png,4
2835.png,0
564.png,2
2654.png,4
2751.png,4
235.png,0
2937.png,0
1869.png,0
701.png,4
1321.png,0
348.png,3
87.png,2
2898.png,4
2235.png,4
810.png,3
146.png,2
1956.png,2
3269.png,0
501.png,4
1662.png,4
3493.png,1
1980.png,3
356.png,4
2674.png,2
3039.png,3
3152.png,1
710.png,0
1601.png,2
2752.png,4
1765.png,4
913.png,2
3279.png,2
1259.png,4
1046.png,1
1025.png,0
2763.png,1
2430.png,2
1764.png,4
315.png,0
1502.png,2
824.png,0
1684.png,0
3079.png,2
3067.png,1
2971.png,4
3231.png,3
271.png,3
916.png,0
2671.png,2
2203.png,1
340.png,2
2368.png,4
2788.png,3
1131.png,2
1685.png,0
279.png,1
2844.png,4
1112.png,3
287.png,0
1246.png,1
3367.png,4
3488.png,0
69.png,4
1777.png,1
956.png,4
862.png,3
2384.png,2
2608.png,4
3332.png,2
2529.png,3
350.png,3
2705.png,1
1610.png,4
777.png,0
2488.png,0
1865.png,0
886.png,4
880.png,2
1768.png,4
1350.png,3
2061.png,0
1457.png,1
76.png,2
3241.png,0
2298.png,3
1900.png,2
983.png,1
2126.png,4
2527.png,2
753.png,3
2795.png,4
3036.png,0
61.png,2
2922.png,2
2622.png,1
292.png,1
746.png,4
1317.png,2
2028.png,3
2822.png,3
1220.png,0
1295.png,2
2716.png,1
1354.png,0
2014.png,1
2264.png,4
1314.png,1
346.png,3
3316.png,3
120.png,3
662.png,0
1463.png,3
169.png,1
1291.png,0
2153.png,3
2771.png,2
3328.png,1
1667.png,1
2357.png,0
2310.png,0
2735.png,3
2295.png,4
1406.png,3
1521.png,0
2258.png,4
1210.png,1
1819.png,4
1111.png,0
2643.png,0
1037.png,0
943.png,2
2472.png,1
1858.png,2
874.png,4
2256.png,4
679.png,0
469.png,4
3267.png,3
1453.png,4
1505.png,2
2715.png,1
1987.png,0
3165.png,1
2096.png,3
3190.png,0
893.png,2
1120.png,1
3016.png,1
2007.png,1
1296.png,0
2441.png,3
2200.png,1
282.png,3
958.png,1
553.png,1
298.png,2
2675.png,2
2876.png,3
1172.png,2
3376.png,4
657.png,4
2583.png,2
3419.png,1
2406.png,0
3204.png,3
1782.png,2
980.png,1
2595.png,0
709.png,0
2482.png,3
414.png,3
1815.png,0
1522.png,4
3126.png,2
3331.png,2
3246.png,4
368.png,4
1287.png,4
1435.png,2
1279.png,2
33.png,3
2582.png,2
820.png,4
2906.png,3
3401.png,2
1523.png,2
3051.png,1
2754.png,4
2359.png,4
785.png,0
1569.png,1
242.png,1
2079.png,1
597.png,1
2378.png,2
1941.png,1
2613.png,4
67.png,0
2807.png,1
450.png,4
217.png,4
209.png,0
118.png,3
2017.png,2
2985.png,4
2549.png,0
3372.png,4
2611.png,4
2402.png,0
801.png,0
1054.png,0
1413.png,4
506.png,0
1832.png,1
995.png,4
2736.png,3
3259.png,3
1469.png,4
2648.png,4
60.png,0
1290.png,3
1249.png,2
317.png,3
1347.png,2
3095.png,3
3422.png,2
754.png,0
162.png,3
2397.png,3
1755.png,0
1544.png,3
2618.png,1
1999.png,4
727.png,0
104.png,2
2947.png,2
1483.png,3
1589.png,3
2199.png,1
3349.png,3
2727.png,2
3456.png,2
1816.png,4
2414.png,3
3064.png,1
759.png,4
1322.png,2
705.png,2
3202.png,3
110.png,3
3034.png,1
2.png,2
1018.png,2
1798.png,4
127.png,0
165.png,4
440.png,2
3495.png,1
1556.png,0
2307.png,0
645.png,0
1006.png,4
2197.png,1
1918.png,4
1723.png,0
1489.png,1
2119.png,0
1790.png,3
741.png,3
36.png,0
1643.png,4
626.png,3
396.png,1
904.png,4
939.png,1
1986.png,0
2737.png,3
3486.png,2
268.png,2
3277.png,1
942.png,4
2718.png,2
293.png,1
751.png,2
2970.png,3
926.png,0
708.png,2
2598.png,0
525.png,0
